function,dim,algorithm,n_runs,f_mean,f_median,f_std,f_best,f_worst,evals_mean,evals_median,success_rate,runtime_mean_s,seed_base
rosenbrock,3,evolutionary,30,0.2902165383841318,0.23424897510612758,0.25211500739320947,0.0011833094636774057,0.9052098722120563,12060.0,12060.0,0.06666666666666667,0.16159018057708938,2183006550
rosenbrock,3,gradient_descent,1600,1078561.2742690437,1125117.0,515869.07839805866,0.001799989117240564,1620162.0,14001.0,14001.0,0.003125,0.093179598206043,2083006250
rosenbrock,3,pso,30,0.37978778135052627,0.012144648782537636,1.2018679918904556,7.585301530520341e-05,4.858796445369613,8040.0,8040.0,0.43333333333333335,0.004242191525797049,2283006850
schwefel,2,differential_evolution,30,3.947969942280277,2.5455132345086895e-05,21.26033171270973,2.5455132345086895e-05,118.43836006957031,8040.0,8040.0,0.9666666666666667,0.12577834573263924,2383007150
schwefel,2,evolutionary,30,43.42741551757469,2.610184537843452e-05,57.07477174063067,2.5455132345086895e-05,118.43836748140825,12060.0,12060.0,0.6333333333333333,0.16137746379245071,2183006550
schwefel,2,gradient_descent,1600,396.8426421678287,394.8999525063169,184.43351321357093,2.5456950652369414e-05,830.0751967505385,2617.696875,2621.0,0.04,0.01508466092927847,2083006250
schwefel,2,pso,30,67.11508732654406,118.43836006957031,58.6904190447686,2.5455132345086895e-05,118.43852599737784,8040.0,8040.0,0.43333333333333335,0.0037123555162300666,2283006850
schwefel,3,differential_evolution,30,12.08079440248993,3.818269851763034e-05,37.380508604522475,3.818269851763034e-05,157.38707057566262,8040.0,8040.0,0.9,0.12568321814760566,2383007150
schwefel,3,evolutionary,30,118.43837296866359,118.4383728061822,80.90878546140604,3.8182699427125044e-05,355.31504220723957,12060.0,12060.0,0.2,0.16173265419589977,2183006550
schwefel,3,gradient_descent,1600,588.839942154971,592.2246127342924,219.69551743342356,3.818450886683422e-05,1185.4231147996643,3830.406875,3795.0,0.009375,0.02138694976820261,2083006250
schwefel,3,pso,30,109.22668384872523,118.43837279713648,84.32579639935155,3.818269851763034e-05,236.87670741157444,8040.0,8040.0,0.3,0.0037375959179674584,2283006850
six_hump_camel,2,differential_evolution,30,-1.0316284534898772,-1.0316284534898774,2.220446049250313e-16,-1.0316284534898774,-1.0316284534898774,8040.0,8040.0,1.0,0.14934936381566027,2383007150
six_hump_camel,2,evolutionary,30,-1.0316284520731627,-1.0316284534446252,6.3063258762517406e-09,-1.0316284534898774,-1.0316284183570437,12060.0,12060.0,1.0,0.15823912642275292,2183006550
six_hump_camel,2,gradient_descent,1600,0.02766300952403541,-0.21546382198999964,1.2638888855721162,-1.0316284497156294,2.104250483553061,5146.6375,5621.0,0.426875,0.04756879905573442,2083006250
six_hump_camel,2,pso,30,-1.0316284534898772,-1.0316284534898774,2.220446049250313e-16,-1.0316284534898774,-1.0316284534898774,8040.0,8040.0,1.0,0.004444006954630216,2283006850
six_hump_camel,3,differential_evolution,30,-1.0316284534898725,-1.0316284534898774,2.4793412160342043e-14,-1.0316284534898774,-1.0316284534897393,8040.0,8040.0,1.0,0.15537404721447576,2383007150
six_hump_camel,3,evolutionary,30,-1.031628453379786,-1.0316284534849882,4.915358889376705e-10,-1.0316284534898774,-1.0316284507402556,12060.0,12060.0,1.0,0.15906357488129289,2183006550
six_hump_camel,3,gradient_descent,1600,0.02871359634759167,-0.21528689522472635,1.2638744664517854,-1.031628327390116,2.107178754315594,14001.0,14001.0,0.2375,0.1325858473534754,2083006250
six_hump_camel,3,pso,30,-1.0316284534898772,-1.0316284534898774,2.220446049250313e-16,-1.0316284534898774,-1.0316284534898774,8040.0,8040.0,1.0,0.004471665162903567,2283006850
